club_name,country,phone_number,email,year_established,home_arena,league,championships_won,website,light_team_color,dark_team_color,head_coach_first,head_coach_last,player_first_name,player_last_name,player_position,player_jersey_number,player_nationality,@context,@type,name,location,coach,url
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Niklas,Landin Jacobsen,Goalkeeper,1,Denmark,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Sebastian,Barthold,Left Wing,19,Norway,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Kristian,Bjørnsen,Right Wing,6,Norway,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Bjarki,Jóhannsson,Left Back,23,Iceland,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Mads,Hoxer Hangaard,Right Back,14,Denmark,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,Thomas,Arnoldsen,Centre Back,7,Denmark,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Aalborg Håndbold,Denmark,+45 96 352030,jl@aalborghaandbold.dk,2000,Sparekassen Danmark Arena,Herreligaen,14,www.aalborghaandbold.dk,Light blue,Red,Maik,Machulla,René,Antonsen,Line Player,22,Denmark,https://schema.org,SportsTeam,Aalborg Håndbold,[object Object],[object Object],www.aalborghaandbold.dk
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Emil,Nielsen,Goalkeeper,40,Denmark,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Aitor,Ariño Bengoechea,Left Wing,13,Spain,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Blaz,Janc,Right Wing,35,Slovenia,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Juan,Palomino Morón,Left Back,44,Spain,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Dika,Mem,Right Back,82,France,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Domen,Makuc,Centre Back,10,Slovenia,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
Barça,Spain,+34 93 4967247,xavier.ocallaghan@fcbarcelona.cat,1942,Palau Blaugrana,Liga Asobal,185,www.fcbarcelona.cat,Lime yellow,Blue red stripped,Antonio Carlos,Ortega Pérez,Luis Diogo,Da Sousa Frade,Line Player,20,Portugal,https://schema.org,SportsTeam,Barça,[object Object],[object Object],www.fcbarcelona.cat
HC Zagreb,Croatia,+385 95 9999303,info@rk-zagreb.hr,1922,Arena Zagreb,Premijer liga,76,www.rk-zagreb.hr,White,Blue,Andrija,Nikolić,Ante,Grbavac,Goalkeeper,47,Bosnia and Herzegovina,https://schema.org,SportsTeam,HC Zagreb,[object Object],[object Object],www.rk-zagreb.hr
HC Zagreb,Croatia,+385 95 9999303,info@rk-zagreb.hr,1922,Arena Zagreb,Premijer liga,76,www.rk-zagreb.hr,White,Blue,Andrija,Nikolić,Davor,Ćavar,Left Wing,24,Croatia,https://schema.org,SportsTeam,HC Zagreb,[object Object],[object Object],www.rk-zagreb.hr
HC Zagreb,Croatia,+385 95 9999303,info@rk-zagreb.hr,1922,Arena Zagreb,Premijer liga,76,www.rk-zagreb.hr,White,Blue,Andrija,Nikolić,Filip,Glavaš,Right Wing,10,Croatia,https://schema.org,SportsTeam,HC Zagreb,[object Object],[object Object],www.rk-zagreb.hr
HC Zagreb,Croatia,+385 95 9999303,info@rk-zagreb.hr,1922,Arena Zagreb,Premijer liga,76,www.rk-zagreb.hr,White,Blue,Andrija,Nikolić,Niko,Franković,Left Back,71,Croatia,https://schema.org,SportsTeam,HC Zagreb,[object Object],[object Object],www.rk-zagreb.hr
HC Zagreb,Croatia,+385 95 9999303,info@rk-zagreb.hr,1922,Arena Zagreb,Premijer liga,76,www.rk-zagreb.hr,White,Blue,Andrija,Nikolić,Luka Lovre,Klarica,Right Back,5,Croatia,https://schema.org,SportsTeam,HC Zagreb,[object Object],[object Object],www.rk-zagreb.hr
